grd_edit,Warranty_edit,Power_edit,Sl. No.,Make,Model,Variant,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Engine_Location,Fuel_System,Fuel_Tank_Capacity_litre,Fuel_Type,Height_mm,Length_mm,Width_mm,Body_Type,Doors,City_Mileage_km_litre,Highway_Mileage_km_litre,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space_litre,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range,Safety_Count,count_yes
165.0,0,110.0,153,Volkswagen,Ameo,Comfortline 1.5L Tdi,1498.0,,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,45.0,Diesel,1483,3995,1682,Sedan,4.0,15.3,21.66,21.66 km/litre,,1044 kg,,165 mm,Ventilated Disc,Drum,MacPherson Strut,Semi Independent Trailing Arm,1460 mm,1456 mm,185/60 R15,185/60 R15,Electric Power,All Windows,,,110PS@4400rpm,250Nm@1500-2500rpm,Analog,Digital,Yes,Yes,5.0,Fabric,Manual,2470 mm,R15,,Yes,CD Player with USB & Aux-in,Yes,Yes,,Yes,Manual,330.0,Yes,Yes,Yes,Digital,Front,,Front,,,Yes,Push to Open,Analog,Manual,Analog,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,,,,,,Yes,,,,,,,Yes,Yes,All Rows,1500 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,,2.0,16.5:1,"Reach, Rake",,Rear sensors,Yes,Yes,,,Yes,,,Yes,,Manual Adjustment,Yes,,,,Yes,,Yes,,,,,,,,,,Yes,Yes,,,,,7,26
165.0,0,110.0,154,Volkswagen,Ameo,Highline Plus 1.5L Tdi Dsg,1498.0,,,FWD (Front Wheel Drive),In-line,"Front, Longitudinal",Injection,45.0,Diesel,1483,3995,1682,Sedan,4.0,15.3,21.73,21.73 km/litre,,1184 kg,7,165 mm,Ventilated Disc,Drum,MacPherson Strut,Semi Independent Trailing Arm,1460 mm,1456 mm,195 / 55 R16,195 / 55 R16,Electric Power,All Windows,,,110PS@4400rpm,250Nm@1500-2500rpm,Analog,Digital,Analog,Yes,5.0,Fabric,Automatic,2470 mm,R16,,Yes,CD Player with USB & Aux-in,Yes,Yes,,Yes,Manual,330.0,Yes,Yes,Yes,Digital,Front,,Yes,,,Yes,Push to Open,Yes,Manual,Analog,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,,,,,,Yes,,,,,,,Yes,Yes,All Rows,1630 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,16.5:1,"Rake, Reach",,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,,Yes,,Manual Adjustment,Yes,,,Yes,Yes,Yes,Yes,,,,,,,Yes,,,,Yes,,,,,7,32
165.0,0,110.0,155,Volkswagen,Ameo,Highline Plus 1.5L Tdi,1498.0,,4.0,FWD (Front Wheel Drive),In-line,"Front, Longitudinal",Injection,45.0,Diesel,1483,3995,1682,Sedan,4.0,15.3,21.66,21.66 km/litre,,1044 kg,,165 mm,Ventilated Disc,Drum,MacPherson Strut,Semi Independent Trailing Arm,1460 mm,1456 mm,195 / 55 R16,195 / 55 R16,Electric Power,All Windows,,,110PS@4400rpm,250Nm@1500-2500rpm,Analog,Digital,Yes,Yes,5.0,Fabric,Manual,2470 mm,R16,,Yes,CD Player with USB & Aux-in,Yes,Yes,,Yes,Manual,330.0,Yes,Yes,Yes,Digital,Yes,,Front,,,Yes,Push to Open,Analog,Manual,Analog,Yes,,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,Yes,,,,,,,Yes,,,,,,,Yes,Yes,All Rows,1500 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,,2.0,16.5:1,"Rake, Reach",,Rear sensors,Yes,Yes,,,Yes,Touch Sensitive,,Yes,,Manual Adjustment,Yes,Yes,,,Yes,,Yes,,,,,,,Yes,,,,Yes,,,,,7,29
165.0,0,76.0,156,Volkswagen,Ameo,Trendline 1.0L,999.0,3.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,45.0,Petrol,1483,3995,1682,Sedan,4.0,,,19 km/litre,,1027 kg,5,165 mm,Ventilated Disc,Drum,MacPherson Strut,Semi Independent Trailing Arm,1460 mm,1456 mm,175/70 R14,175/70 R14,Electric Power,Only Front Windows,,Yes,76PS@6200RPM,95Nm@3000-4300rpm,Digital,Analog,Analog,,5.0,Fabric,Manual,2470 mm,175/70 R14,,,Not on offer,,Yes,,,Manual,330.0,,Yes,Yes,Digital,Front & Rear,,Front & Rear,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,,,,,,,,Yes,,,,,,,Yes,Yes,,1500 kg,"Front passenger frontal airbag, Driver frontal airbag",Yes,Yes,Yes,,2.0,10.5:1,"Rake, Reach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,14
165.0,0,76.0,157,Volkswagen,Ameo,Comfortline 1.0L,999.0,3.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,45.0,Petrol,1483,3995,1682,Sedan,4.0,,,19 km/litre,,1039 kg,5,165 mm,Ventilated Disc,Drum,MacPherson Strut,Semi Independent Trailing Arm,1460 mm,1456 mm,185/60 R15,185/60 R15,Electric Power,All Windows,,Yes,76PS@6200RPM,95Nm@3000-4300rpm,Digital,Analog,Analog,,5.0,Fabric,Manual,2470 mm,185/60 R15,,,USB & Aux-in,Yes,Yes,,Yes,Manual,330.0,,Yes,Yes,Digital,Front & Rear,,Front & Rear,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,Yes,,,,,,,Yes,,,,,,,Yes,Yes,Front Row,1500 kg,"Front passenger frontal airbag, Driver frontal airbag",Yes,Yes,Yes,,2.0,10.5:1,"Rake, Reach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,17
165.0,0,76.0,158,Volkswagen,Ameo,Highline Plus 1.0L,999.0,3.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,45.0,Petrol,1483,3995,1682,Sedan,4.0,,,19 km/litre,,1050 kg,5,165 mm,Ventilated Disc,Drum,MacPherson Strut,Semi Independent Trailing Arm,1460 mm,1456 mm,195/55 R16,195/55 R16,Electric Power,All Windows,,Yes,76PS@6200RPM,95Nm@3000-4300rpm,Digital,Analog,Analog,,5.0,Fabric,Manual,2470 mm,195 / 55 R16,,,USB & Aux-in,Yes,Yes,,Yes,Manual,330.0,,Yes,Yes,Digital,Front & Rear,,Front & Rear,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,,,,,,,,Yes,,,,,,,Yes,Yes,All Rows,1500 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,10.5:1,"Reach, Rake",,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,,,,,Yes,,,,,,,Yes,,,,,,Yes,,,,,7,20
165.0,0,110.0,159,Volkswagen,Ameo,Gt Line Tdi Dsg,1498.0,,,FWD (Front Wheel Drive),In-line,"Front, Longitudinal",Injection,45.0,Diesel,1483,3995,1682,Sedan,4.0,15.3,21.73,21.73 km/litre,,1184 kg,7,165 mm,Ventilated Disc,Drum,McPherson strut with stabiliser bar,Semi-independent trailing arm,1460 mm,1456 mm,195 / 55 R16,195 / 55 R16,Electric Power,All Windows,,,110PS@4400rpm,250Nm@1500-2500rpm,Analog,Digital,Analog,Yes,5.0,Fabric,Automatic,2470 mm,R16,,Yes,CD Player with USB & Aux-in,Yes,Yes,,Yes,Manual,330.0,Yes,Yes,Yes,Digital,Front,,Yes,,,Yes,Push to Open,Yes,Manual,Analog,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,,,,,,Yes,,,,,,,Yes,Yes,All Rows,1630 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,16.5:1,"Rake, Reach",,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,,Yes,,Manual Adjustment,Yes,,,Yes,Yes,Yes,Yes,,,,,,,Yes,,,,Yes,,,,,7,32
,2,96.0,160,Ford,Aspire,1.2 Ti-Vct Ambiente,1194.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,42.0,Petrol,1525,3995,1704,Sedan,4.0,,,20.4 km/litre,,1016-1043 kg,5,,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist beam with twin gas and oil filled shock absorbers,,,175/65R14,175/65R14,Electric Power,Only Front Windows,,Remote,96PS@6500rpm,120Nm@4250rpm,Digital,Analog,Not on offer,Yes,5.0,Fabric,Manual,2490 mm,175/65R14,,Yes,Not on offer,,,"2 Years / 100,000 Kms (whichever comes first)",,"With Remote, Internal",,,Yes,Yes,Digital,Front,Yes,Front,Yes,,,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,16
,0,96.0,161,Ford,Aspire,1.2 Ti-Vct Trend Plus,1194.0,4.0,,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,42.0,Petrol,1525,3995,1704,Sedan,4.0,,,20.4 km/litre,,1016-1043 kg,5,,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist beam with twin gas and oil filled shock absorbers,,,175/65R14,175/65R14,Electric Power,All Windows,,Remote,96PS@6500rpm,120Nm@4250rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2490 mm,175/65R14,,Yes,CD Player with USB & Aux-in,,,,Yes,Manual,,Yes,Yes,Yes,Digital,Yes,Yes,Front,Yes,,,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,"Rear sensors, Rear sensors with camera",,Yes,,,,Yes,Yes,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,7,25
,2,96.0,162,Ford,Aspire,1.2 Ti-Vct Trend,1194.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,42.0,Petrol,1525,3995,1704,Sedan,4.0,,,20.4 km/litre,,1016-1043 kg,5,,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist beam with twin gas and oil filled shock absorbers,,,175/65R14,175/65R14,Electric Power,All Windows,,Remote,96PS@6500rpm,120Nm@4250rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2490 mm,175/65R14,,Yes,CD Player with USB & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"Internal, With Remote",,,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,"Rear sensors, Rear sensors with camera",,Yes,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,7,22
,2,100.0,163,Ford,Aspire,1.5 Tdci Ambiente,1498.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,40.0,Diesel,1525,3995,1704,Sedan,4.0,,,26.1 km/litre,,1053-1080 kg,5,,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist beam with twin gas and oil filled shock absorbers,,,175/65R14,175/65R14,Electric Power,Only Front Windows,,Remote,100PS@3750RPM,215Nm@1750-3000RPM,Digital,Analog,Not on offer,Yes,5.0,Fabric,Manual,2490 mm,175/65R14,,Yes,Not on offer,,,"2 Years / 100,000 Kms (whichever comes first)",,"With Remote, Internal",,,Yes,Yes,Digital,Front,Yes,Front,Yes,,,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,16
,2,100.0,164,Ford,Aspire,1.5 Tdci Trend,1498.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,40.0,Diesel,1525,3995,1704,Sedan,4.0,,,26.1 km/litre,,1053-1080 kg,5,,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist beam with twin gas and oil filled shock absorbers,,,175/65R14,175/65R14,Electric Power,All Windows,,Remote,100PS@3750RPM,215Nm@1750-3000RPM,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2490 mm,175/65R14,,Yes,CD Player with USB & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"Internal, With Remote",,,,,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,Yes,2.0,,Rake,,"Rear sensors, Rear sensors with camera",,Yes,,,,Yes,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,4,20
,2,100.0,165,Ford,Aspire,1.5 Tdci Trend Plus,1498.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,40.0,Diesel,1525,3995,1705,Sedan,4.0,,,26.1 km/litre,,1053-1080 kg,5,,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist beam with twin gas and oil filled shock absorbers,,,175/65R14,175/65R14,Electric Power,All Windows,,Remote,100PS@3750RPM,215Nm@1750-3000RPM,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2490 mm,175/65R14,,Yes,CD Player with USB & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"Internal, With Remote",,,,,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,Rear sensors,,Yes,,,,,Yes,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,5,21
,2,100.0,166,Ford,Aspire,1.5 Tdci Titanium,1498.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,40.0,Diesel,1525,3995,1704,Sedan,4.0,,,26.1 km/litre,,1053-1080 kg,5,,Ventilated Disc,Drum,Independent MacPherson Dual path Strut with coil spring,Semi-independent twist beam with twin gas and oil filled shock absorbers,,,195/55R15,195/55R15,Electric Power,All Windows,,Remote,100PS@3750RPM,215Nm@1750-3000RPM,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2490 mm,195/55R15,,Yes,CD Player with USB & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"With Remote, Internal",,,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,Rear sensors,,Yes,,,,,Yes,,,Manual Adjustment,Yes,,,Yes,,,,,,,,,,,,,,,,,,,7,23
,2,100.0,167,Ford,Aspire,1.5 Tdci Titanium Plus,1498.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,40.0,Diesel,1525,3995,1704,Sedan,4.0,,,26.1 km/litre,,1053-1080 kg,5,,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist beam with twin gas and oil filled shock absorbers,,,195/55R15,195/55R15,Electric Power,All Windows,,Remote,100PS@3700RPM,215Nm@1750-3000RPM,Digital,Analog,Analog,Yes,5.0,Leather,Manual,2490 mm,195/55R15,,Yes,CD Player with USB & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"With Remote, Internal",,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Curtain airbags",Yes,Yes,Yes,Yes,6.0,,Rake,,,,Yes,,,,Touch Sensitive,Yes,,,Manual Adjustment,Yes,,,Yes,,,,,,,,Yes,,,Yes,,,,,,,,8,26
,2,96.0,168,Ford,Aspire,1.2 Ti-Vct Titanium Plus,1194.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,42.0,Petrol,1525,3995,1704,Sedan,4.0,,,19.4 km/litre,,,5,,Ventilated Disc,Drum,Independent MacPherson Dual path Strut with coil spring,Semi-independent twist beam with twin gas and oil filled shock absorbers,,,195/55R15,195/55R15,Electric Power,All Windows,,Remote,96PS@6500rpm,120Nm@4250rpm,Digital,Analog,Analog,Yes,5.0,Leather,Manual,2490 mm,195/55R15,,Yes,CD Player with USB & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"With Remote, Internal",,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Drive side airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag",Yes,Yes,Yes,Yes,6.0,,Rake,,Rear sensors,,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,,,Manual Adjustment,Yes,,,Yes,,,,,,,,Yes,,,Yes,,,,,,,,8,26
,2,96.0,169,Ford,Aspire,1.2 Ti-Vct Titanium,1194.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,42.0,Petrol,1525,3995,1704,Sedan,4.0,,,19.4 km/litre,,1016-1043 kg,5,,Ventilated Disc,Drum,Independent MacPherson Dual path Strut with coil spring,Semi-independent twist beam with twin gas and oil filled shock absorbers,,,195/55R15,195/55R15,Electric Power,All Windows,,Remote,96PS@6500rpm,120Nm@4250rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2490 mm,195/55R15,,Yes,CD Player with USB & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"With Remote, Internal",,,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,Rear sensors,,Yes,,,,Touch Sensitive,Yes,,,Manual Adjustment,Yes,,,Yes,,,,,,,,,,,,,,,,,,,7,24
,0,96.0,170,Ford,Aspire,1.2 Trend Plus Cng,1194.0,4.0,,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,42.0,CNG,1525,3995,1704,Sedan,4.0,,,,20.4 km/kg,1016-1043 kg,5,,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist beam with twin gas and oil filled shock absorbers,,,175/65R14,175/65R14,Electric Power,All Windows,,Remote,96PS@6300rpm,120Nm@4250rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2490 mm,175/65R14,,Yes,CD Player with USB & Aux-in,,,,Yes,Manual,,Yes,Yes,Yes,Digital,Yes,Yes,Front,Yes,,,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,"Rear sensors with camera, Rear sensors",,Yes,,,,Yes,Yes,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,8,26
,2,96.0,171,Ford,Aspire,1.2 Ti-Vct Blu,1194.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,42.0,Petrol,1525,3995,1704,Sedan,4.0,,,19.4 km/litre,,1016-1043 kg,5,,Ventilated Disc,Drum,Independent MacPherson Dual path Strut with coil spring,Semi-independent twist beam with twin gas and oil filled shock absorbers,,,195/55R15,195/55R15,Electric Power,All Windows,,Remote,96PS@6500rpm,120Nm@4250rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2490 mm,195/55R15,Yes,Yes,CD Player with USB & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"With Remote, Internal",,,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,Yes,,,Yes,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,Rear sensors,,Yes,Yes,Yes,,Touch Sensitive,Yes,,,Manual Adjustment,Yes,,,Yes,,,,,,,,,,Yes,,,,,,,,,8,30
,2,100.0,172,Ford,Aspire,1.5 Tdci Blu,1498.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,40.0,Diesel,1525,3995,1704,Sedan,4.0,,,26.1 km/litre,,1053-1080 kg,5,,Ventilated Disc,Drum,Independent MacPherson Dual path Strut with coil spring,Semi-independent twist beam with twin gas and oil filled shock absorbers,,,195/55R15,195/55R15,Electric Power,All Windows,,Remote,100PS@3750RPM,215Nm@1750-3000RPM,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2490 mm,195/55R15,Yes,Yes,CD Player with USB & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"With Remote, Internal",,,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Front passenger frontal airbag, Driver frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,Rear sensors,,Yes,Yes,Yes,,Touch Sensitive,Yes,,,Manual Adjustment,Yes,,,Yes,,,,,,,,,,Yes,,,,,,,,,8,28
170.0,3,90.0,173,Toyota,Platinum Etios,G,1496.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,45.0,Petrol,1510,4369,1695,Sedan,4.0,13.6,16.3,16.78 km/litre,,935 kg,5,170 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,1475 mm,1485 mm,175/70R15,175/70R15,Electric Power,All Windows,,Remote,90PS@5600rpm,132Nm@3000rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2550 mm,175/70R15,,Yes,Not on offer,,,3 years /100000 Kms (years/distance whichever comes first),,Internal,592.0,,Yes,Yes,Digital,Front,,Front & Rear,Yes,,,With Remote,Digital,Manual,Analog + Digital,Yes,4.9,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,1285 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,16.5:1,Rake,,,Yes,,,,,,,,,Manual Adjustment,,,,Yes,,,Yes,,,,Yes,,,,,,,,,,,,7,18
170.0,3,90.0,174,Toyota,Platinum Etios,V,1496.0,4.0,4.0,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,45.0,Petrol,1510,4369,1695,Sedan,4.0,13.6,16.7,16.78 km/litre,,935 kg,5,170 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,1475 mm,1485 mm,185/60R15,185/60R15,Electric Power,All Windows,,Remote,90PS@5600rpm,132Nm@3000rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2550 mm,185/60R15,,Yes,CD Player with USB & Aux-in,Yes,,3 years /100000 Kms (years/distance whichever comes first),Yes,Internal,592.0,Yes,Yes,Yes,Digital,Front,,Front & Rear,Yes,,Yes,With Remote,Digital,Manual,Analog + Digital,Yes,4.9,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,1285 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,16.5:1,Rake,,,Yes,Yes,,,,,,,,Manual Adjustment,,,,Yes,,,Yes,,,,Yes,,,,,,,,,,,,7,23
